WORDNO,WORD
191,"nesa"
192,"karalystė"
193,"dangų"
194,"."
195,"tikra"
196,"esti"
197,"tiesa"
198,"jog"
199,"-"
200,"ko"
201,"nori"
202,"žmogus"
203,"iš"
204,"jaunystės"
205,"įsigeria"
206,","
207,"tąją"
208,"ir"
209,"paskujejais"
210,"metais"
211,"užlaiko"
212,"-"
213,"ir"
214,"jeigu"
215,"pradžios"
216,"geru"
217,"kačieb"
218,"paskui"
219,"to"
220,"ant"
221,"mažos"
222,"piktą"
223,"pasaulio"
224,"nuo"
225,"gi"
226,"kelio"
227,"baimės"
228,"Dievo"
229,","
230,"ir"
231,"priderėjimo"
232,"krikščioniško"
233,"užklystų"
234,"-"
235,"vienok"
236,"tuojaus"
237,"tų"
238,"atsimindamas"
239,"ant"
240,"gerų"
241,"jumpi"
242,"pigiau"
243,"susiverčia"
244,"."
245,"o"
246,"taip"
247,"gerai"
248,"prisidabojo"
249,"tame"
250,"išmaną"
251,"žmonės"
252,"bažnyčios"
253,","
254,"ir"
255,"gyvatos"
256,"krikščioniškos"
257,","
258,"kitaip"
259,"būti"
260,"ne"
261,"galėjo"
262,","
263,"tiktai"
264,"per"
265,"tą"
266,"sėklą"
267,"jaunumo"
268,"."
269,"nesa"
270,"apie"
271,"įsenėjusius"
272,"piktuose"
273,"pajunkinimuose"
274,"Dievas"
275,"Jeremijošių"
276,"pasakė"
277,"-"
278,"jog"
279,"tokiems"
280,"ne"
281,"pigiau"
282,"pajunkimą"
283,"savo"
284,"-"
285,"kaip"
286,"murinui"
287,"juodumą"
288,"Jer"
289,"13"
290,"."
291,"atmainyti"
292,"-"
293,"ir"
294,"dėl"
295,"to"
296,"mieliems"
297,"gimdytojams"
298,"įgraudename"
299,","
300,"idant"
301,"vaikelius"
302,"savus"
303,"tokiopi"
304,"įtaisymopi"
305,","
306,"ne"
307,"tiktai"
308,"teipaja"
309,"tikroje"
310,"Viešpaties"
311,"Dievo"
312,"pažintyje"
313,","
314,"ir"
315,"baimėje"
316,"jo"
317,"vestų"
318,"-"
319,"prie"
320,"gi"
321,"tam"
322,"ir"
323,"patys"
324,"idant"
325,"toje"
326,"prastybėje"
327,"mokslo"
328,"krikščioniško"
329,"čia"
330,"esti"
331,"aprašytas"
332,"gėrėtųsi"
333,"kadangi"
334,"Viešpats"
335,"kalbėjo"
336,"jeigu"
337,"ne"
338,"tapsite"
339,"kaip"
340,"mažinteliai"
341,","
342,"ne"
343,"įeisite"
344,"karalystėn"
345,"dangaus"
346,"tojag"
347,"mokyti"
348,"mus"
349,"teikėsi"
350,"Mt"
351,"18"
352,"."
353,"n."
354,"3"
355,"."
356,"bylodamas"
357,"jog"
358,"mokslas"
359,"karalybės"
360,"Dievo"
361,"esti"
362,"garstyčios"
363,"kačieb"
364,"grūdelis"
365,"mažas"
366,"bat"
367,"kad"
368,"jau"
369,"užauga"
370,"paukščiai"
371,"dangaus"
372,"ant"
373,"jos"
374,"užsėda"
375,"."
376,"teipajeg"
377,"ir"
378,"apie"
379,"šitą"
380,"trumpą"
381,","
382,"ir"
383,"mažą"
384,"krikščionišką"
385,"mokslą"
386,","
387,"kurį"
388,"katekizmėliu"
389,"mename"
390,","
391,"išsimanyti"
392,"jog"
393,"kad"
394,"gerai"
395,"širdin"
396,"įsigeria"
397,"ir"
398,"įsišaknija"
399,"žmones"
400,"didžiumpi"
401,"gamtumpi"
402,"ir"
403,"bendrystėspi"
404,"angelų"
405,"privadžioja"
406,"."
407,"mokslas"
408,"krikščioniškas"
409,"."
410,"pirma"
411,"apie"
412,"vardą"
413,"ir"
414,"krikščionies"
415,","
416,"teipajeg"
417,"ir"
418,"apie"
419,"mokslą"
420,"jo"
421,"."
422,"mistras"
423,"sakai"
424,"man"
425,"esi"
426,"gu"
427,"tu"
428,"krikščionis"
429,"?"
430,"mokytinis"
431,"esu"
432,"mi"
433,"iš"
434,"malonės"
435,"Jėzaus"
436,"Kristaus"
437,"."
438,"m."
439,"kam"
440,"tari"
441,"iš"
442,"malonės"
443,"Jėzaus"
444,"Kristaus"
445,"m."
446,"jog"
447,"aš"
448,"ne"
449,"nuopelnais"
450,","
451,"nei"
452,"mano"
453,"nei"
454,"manos"
455,"motinos"
456,","
457,"kurio"
458,"aš"
459,"tapęs"
460,"esmi"
461,"krikščionimi"
462,","
463,"bet"
464,"tikrąja"
465,"malone"
466,"ir"
467,"nuopelnais"
468,"Viešpaties"
469,"mūsų"
470,"Jėzaus"
471,"Kristaus"
472,"."
473,"m."
474,"nuo"
475,"gi"
476,"ko"
477,"pramintas"
478,","
479,"ir"
480,"krikščionis"
481,"?"
482,"mo."
483,"Kristaus"
484,","
485,"ir"
486,"išmanosi"
487,"mokytinis"
488,","
489,"tai"
490,"apsikrikštijęs"
491,","
492,"tiki"
493,"į"
494,"gi"
495,"daro"
496,"prisakymus"
497,"jo"
498,"."
499,"m."
500,"Dievui"
501,","
502,"kad"
503,"krikščionimi"
504,","
505,"ir"
506,"tu"
507,"ant"
508,"krikšto"
509,","
510,"krikštijo"
511,"tave"
512,"?"
513,"mo."
514,"žadėjau"
515,"tikėti"
516,"į"
517,"gi"
518,"Dievą"
519,","
520,"ir"
521,"atsižadėjau"
522,","
523,"velino"
524,","
525,"pasaulio"
526,"ir"
527,"didžiavimų"
528,"jo"
529,","
530,"teipajeg"
531,"ir"
532,"veikalų"
533,"norą"
534,"veda"
535,"m."
536,"ką"
537,"gero"
538,"įgyja"
539,"tas"
540,"kuris"
541,"tampa"
542,"krikščionimi"
543,"?"
544,"mo."
545,"pavirsta"
546,","
547,"ir"
548,"tampa"
549,"sūnumi"
550,"palaiminimo"
551,","
552,"ir"
553,"v."
554,"Dievas"
555,"priima"
556,"jį"
557,"už"
558,"sūnų"
559,","
560,"ir"
561,"daro"
562,"jį"
563,"tėvainimi"
564,"dangaus"
565,"."
566,"m."
567,"o"
568,"tas"
569,"vėl"
570,"kaip"
571,","
572,"kuris"
573,"ne"
574,"krikščionimi"
575,"yra"
576,"?"
577,"lepumu"
578,"."
579,"mo."
580,"pavirsta"
581,"sūnumi"
582,"prakeikimo"
583,","
584,"vergu"
585,"velino"
586,"ir"
587,"nuo"
588,"gi"
589,"tėvainumo"
590,"dangaus"
591,"atskirtu"
592,"."
593,"m."
594,"sakyki"
595,"gi"
596,"man"
597,","
598,"kas"
599,"tatai"
600,"yra"
601,"Jėzus"
602,"Kristus"
603,"?"
604,"mo."
605,"tikras"
606,"m."
607,"kam"
608,"tari"
609,"Dievas"
610,"?"
611,"mo."
612,"jog"
613,"vienatijas"
614,"sūnus"
615,"Dievo"
616,"Tėvo"
617,"visa"
618,"galinčio"
619,"."
620,"m."
621,"kam"
622,"tari"
623,"tikras"
624,"žmogus"
625,"?"
626,"mo."
627,"jog"
628,"viengimis"
629,"sūnus"
630,"švenčiausios"
631,"mergos"
632,"Marijos"
633,"."
634,"m."
635,"o"
636,"Kristus"
637,"kaip"
638,"išguldžiasi"
639,"-"
640,"tampa"
641,"."
642,"mo."
643,"pateptinis"
644,"."
645,"m."
646,"kodrin"
647,"?"
648,"mo."
649,"jog"
650,"pilnumu"
651,"malonės"
652,"dvasios"
653,"šventos"
654,","
655,"kaip"
656,"karalius"
657,"ant"
658,"visų"
659,"karalių"
660,","
661,"kunigas"
662,"ant"
663,"visų"
664,"kunigų"
665,","
666,"ir"
667,"tikrasis"
668,"Mesijas"
669,"."
670,"m."
671,"Jėzus"
672,"vėl"
673,"kaip"
674,"išguldžiasi"
675,"?"
676,"mo."
677,"išganytojas"
678,"arba"
679,"išgelbėtojas"
680,"."
681,"m."
682,"kodrin"
683,"taip"
684,"išguldžiasi"
685,"?"
686,"mo."
687,"jog"
688,"išgelbėjo"
689,","
690,"ir"
691,"atpirko"
692,"mus"
693,"krauju"
694,"savu"
695,"brangiausiu"
696,"nuo"
697,"gi"
698,"velino"
699,"nuodėmės"
700,"ir"
701,"giltinės"
702,"arba"
703,"mirties"
704,"amžinos"
705,","
706,"ir"
707,"mokydamas"
708,"mus"
709,"kelio"
710,"išganymo"
711,","
712,"tatai"
713,"kelią"
714,"dangun"
715,"."
716,"m."
717,"kaip"
718,"jisai"
719,"atpirko"
720,"mus"
721,"nuo"
722,"gi"
723,"velino"
724,"?"
725,"mo."
726,"numiręs"
727,"už"
728,"mus"
729,"ant"
730,"medžio"
731,"kryžiaus"
732,"švento"
733,"."
734,"m."
735,"kaipog"
736,"parodė"
737,"kelią"
738,"dangun"
739,"?"
740,"mo."
741,"per"
742,"sakymą"
743,"ir"
744,"pamokslą"
745,"savo"
746,"švento"
747,"mokslo"
748,"-"
749,"ir"
750,"liepė"
751,"mums"
752,"visiems"
753,"klausyti"
754,","
755,"ir"
756,"mokytis"
757,"jo"
758,"."
759,"m."
760,"kas"
761,"gi"
762,"yra"
763,"tatai"
764,"mokslas"
765,"krikščioniškas"
766,"šventas"
767,"?"
768,"mo."
769,"Viešpatis"
770,"Jėzus"
771,"Kristus"
772,","
773,"pirm"
774,"išmokė"
775,"mus"
776,"ir"
777,"žodžiais"
778,","
779,"paskui"
780,"to"
781,"teipajeg"
782,","
783,"per"
784,"apaštalus"
785,"kurio"
786,"vėl"
787,"mus"
788,"motina"
789,"mūsų"
790,"šventoji"
791,","
792,"ir"
793,"visur"
794,"bažnyčia"
795,"Dievo"
796,"išmokė"
797,"pagraudinimas"
798,"veizdėkite"
799,"tad"
800,"sūneliai"
801,"mielieji"
802,","
803,"jog"
804,"kalti"
805,"este"
806,"darbais"
807,"Kristų"
808,"Viešpatį"
809,"išganytojį"
810,"savą"
811,"sakioti"
812,","
813,"nuo"
814,"gi"
815,"kurio"
816,"ir"
817,"vardą"
818,"kuris"
819,"jums"
820,"taip"
821,"didę"
822,"malonę"
823,"parodyti"
824,"teikėsi"
825,"."
826,"apie"
827,"žymę"
828,"kryžiaus"
829,"švento"
830,"."
831,"mistras"
832,"."
833,"kuri"
834,"yra"
835,"žymė"
836,","
837,"arba"
838,"ženklas"
839,"krikščionies"
840,"žmogaus"
841,"mo."
842,"ženklas"
843,"švento"
844,"kryžiaus"
845,"m."
846,"kodrin"
847,"?"
848,"mo."
849,"jog"
850,"mus"
851,"ant"
852,"jo"
853,"Viešpatis"
854,"mūsų"
855,"Jėzus"
856,"Kristus"
857,"atpirko"
858,"."
859,"m."
860,"kaipag"
861,"šitą"
862,"žymę"
863,"daro"
864,"?"
865,"m"
866,"padėjęs"
867,"tris"
868,"pirštus"
869,"dešinės"
870,"rankos"
871,"-"
872,"pirm"
873,"ant"
874,"kaktos"
875,"tadang"
876,"ant"
877,"širdies"
878,","
879,"paskui"
880,"ant"
881,"kairo"
882,"pečio"
883,","
884,"nuo"
885,"gi"
886,"kairo"
887,"pečio"
888,"ant"
889,"dešino"
890,","
891,"tarydamas"
892,"-"
893,"vardan"
894,"Dievo"
895,"Tėvo"
896,","
897,"ir"
898,"sūnaus"
899,"ir"
900,"dvasios"
901,"šventos"
902,"."
903,"amen"
904,"."
905,"m."
906,"kodrinag"
907,"taip"
908,"daro"
909,"?"
910,"mo."
911,"drin"
912,"išreiškimo"
913,"didžiųjų"
914,"dviejų"
915,"slaptų"
916,"tikėjimo"
917,"mūsų"
918,"tatai"
919,"švenčiausios"
920,"traicės"
921,","
922,"bei"
923,"įkūninimo"
924,"Viešpaties"
925,"mūsų"
926,"Jėzaus"
927,"Kristaus"
928,"."
929,"m."
930,"o"
931,"kaipag"
932,"tatai"
933,"."
934,"vieros"
935,"."
936,"mo."
937,"minėdamas"
938,"tėvą"
939,"ant"
940,"galvos"
941,","
942,"jog"
943,"jisai"
944,"pradžia"
945,"Dievystės"
946,","
947,"o"
948,"sūnų"
949,"ant"
950,"širdies"
951,","
952,"nes"
953,"gema"
954,"nuo"
955,"gi"
956,"Tėvo"
957,"."
958,"o"
959,"dvasią"
960,"šventą"
961,"nuo"
962,"gi"
963,"vieno"
964,"pečio"
965,"ant"
966,"antro"
967,","
968,"jog"
969,"išeiti"
970,"nuo"
971,"gi"
972,"Tėvo"
973,"ir"
974,"nuo"
975,"gi"
976,"sūnaus"
977,"."
978,"m."
979,"o"
980,"kodrinag"
981,"tai"
982,"taip"
983,"kryžiumi"
984,"darome"
985,"mo."
986,"ant"
987,"parodymo"
988,"antros"
989,"slaptės"
990,"-"
991,"jog"
992,"sūnus"
993,"Dievo"
994,"tapęs"
995,"žmogumi"
996,"įsčioje"
997,"mergos"
998,"Marijos"
999,","
1000,"atpirko"
1001,"mus"
1002,"ant"
1003,"kryžiaus"
1004,"idant"
1005,"mus"
1006,"pergabentų"
1007,"nuo"
1008,"gi"
1009,"kairės"
1010,"ant"
1011,"dešinės"
1012,"-"
1013,"taip"
1014,"jog"
1015,"ženklas"
1016,"kryžiaus"
1017,"švento"
1018,"kuriuo"
1019,"ženklinamės"
1020,"suma"
1021,"kokia"
1022,"viso"
1023,"tikėjimo"
1024,"mūsų"
1025,"."
1026,"žyvate"
1027,"."
1028,"m"
1029,"o"
1030,"kadangi"
1031,"turime"
1032,"ženklintis"
1033,"tuo"
1034,"ženklu"
1035,"?"
1036,"mo"
1037,"visados"
1038,"prie"
1039,"gi"
1040,"pradžios"
1041,"ir"
1042,"pabangos"
1043,"visokio"
1044,"veikalo"
1045,"mūsų"
1046,","
1047,"ir"
1048,"randamės"
1049,"kokiame"
1050,"privalyme"
1051,","
1052,"arba"
1053,"reikale"
1054,","
1055,"o"
1056,"ypačiai"
1057,"keldamiesi"
1058,","
1059,"ir"
1060,"guldami"
1061,","
1062,"ižgi"
1063,"namų"
1064,"išeidami"
1065,","
1066,"įeidami"
1067,","
1068,"bažnyčion"
1069,"ir"
1070,"išeidami"
1071,","
1072,"valgydami"
1073,","
1074,"ir"
1075,"gerdami"
1076,"."
1077,"m."
1078,"kodrin"
1079,"taip"
1080,"dažnai"
1081,"?"
1082,"mo."
1083,"idant"
1084,"visokioje"
1085,"vietoje"
1086,"ir"
1087,"visu"
1088,"metu"
1089,"mus"
1090,"v."
1091,"Dievas"
1092,"nuo"
1093,"gi"
1094,"priesakų"
1095,"mūsų"
1096,"-"
1097,"ir"
1098,"visi"
1099,"veikalai"
1100,"mūsų"
1101,"idant"
1102,"tęstųsi"
1103,"ir"
1104,"apgrįžtų"
1105,"garbėspi"
1106,"ir"
1107,"liaupsėspi"
1108,"Dievo"
1109,"ir"
1110,"vėl"
1111,"dažniau"
1112,"minėtumbime"
1113,"kančią"
1114,"ir"
1115,"kartų"
1116,"taip"
1117,"tankiai"
1118,"-"
1119,"mirimą"
1120,"v."
1121,"mūsų"
1122,"Jėzaus"
1123,"Kristaus"
1124,"."
1125,"→"
1126,"apie"
1127,"dažną"
1128,"ir"
1129,"tankų"
1130,"vartojimą"
1131,"nuo"
1132,"gi"
1133,"senų"
1134,"amžių"
1135,"kryžiaus"
1136,"švento"
1137,"."
1138,"ženklu"
1139,"kryžiaus"
1140,"švento"
1141,"pradėjo"
1142,"ženklintis"
1143,"tuojau"
1144,"iš"
1145,"pradžios"
1146,"bažnyčios"
1147,"pirmos"
1148,","
1149,"nuo"
1150,"gi"
1151,"amžio"
1152,"apaštalų"
1153,","
1154,"net"
1155,"ik"
1156,"šitam"
1157,"pastaram"
1158,"."
1159,"kaip"
1160,"apie"
1161,"tai"
1162,"liudija"
1163,"daktarai"
1164,"šventieji"
1165,"."
1166,"Augustinas"
1167,","
1168,"Krizostomas"
1169,","
1170,"Bazilijus"
1171,","
1172,"ir"
1173,"kiti"
1174,"."
1175,"o"
1176,"daugiausiai"
1177,"Tertulianus"
1178,"kada"
1179,"taip"
1180,"rašo"
1181,"-"
1182,"ant"
1183,"visokio"
1184,"pakrutėjimo"
1185,","
1186,"ir"
1187,"pažygėjimo"
1188,"įeidami"
1189,","
1190,"išeidami"
1191,","
1192,"sėsdamiesi"
1193,"apsivilkdami"
1194,"pirtyje"
1195,","
1196,"skomiepi"
1197,","
1198,"i"
1199,"prie"
1200,"gi"
1201,"žvakės"
1202,"arba"
1203,"žiburio"
1204,","
1205,"pataliepi"
1206,"mirtį"
1207,"de"
1208,"corona"
1209,"milites"
1210,"."
1211,"ir"
1212,"ką"
1213,"norint"
1214,"tiktai"
1215,"darome"
1216,"visados"
1217,"pirmiausia"
1218,"ženkliname"
1219,"kaktą"
1220,"žyme"
1221,"kryžiaus"
1222,"švento"
1223,"."
1224,"pagraudinimas"
1225,"arba"
1226,"įgraudinimas"
1227,"."
1228,"ir"
1229,"čia"
1230,"turi"
1231,"graudinti"
1232,","
1233,"kad"
1234,"ženklinsis"
1235,"žyme"
1236,"kryžiaus"
1237,"švento"
1238,"-"
1239,"idant"
1240,"tai"
1241,"darytų"
1242,"viežlyvai"
1243,","
1244,"ir"
1245,"su"
1246,"pavartojimu"
1247,"paminėtų"
1248,"-"
1249,"o"
1250,"ne"
1251,"taip"
1252,"pigai"
1253,"be"
1254,"jokio"
1255,"atžvilgio"
1256,"kaip"
1257,"papratę"
1258,"daryti"
1259,"."
1260,"žyminame"
1261,"."
1262,"pajunkę"
1263,"antra"
1264,"apie"
1265,"galą"
1266,"ir"
1267,"kriesą"
1268,"žmogus"
1269,"krikščionies"
1270,","
1271,"ir"
1272,"apie"
1273,"daiktus"
1274,"jam"
1275,"reikalingus"
1276,","
1277,"ir"
1278,"privalomus"
1279,"topi"
1280,"."
1281,"mistras"
1282,"."
1283,"kodrin"
1284,"Dievas"
1285,"padarė"
1286,"mo."
1287,"idant"
1288,"mylėtų"
1289,"Viešpatį"
1290,"Dievą"
1291,"savą"
1292,"ir"
1293,"tarnautų"
1294,"jam"
1295,"ant"
1296,"to"
1297,"pasaulio"
1298,"ir"
1299,"paskui"
1300,"to"
1301,","
1302,"idant"
1303,"regėtų"
1304,"jį"
1305,","
1306,"gėrėtųsi"
1307,"juo"
1308,"aname"
1309,"pasaulyje"
1310,"kuris"
1311,"bus"
1312,"didžiausias"
1313,"palaiminimas"
1314,"mūsų"
1315,"."
1316,"m."
1317,"kiek"
1318,"daiktų"
1319,"yra"
1320,"krikščioniui"
1321,"reikalingų"
1322,"idant"
1323,"įgytų"
1324,"galą"
1325,"savą"
1326,"idant"
1327,"išganytas"
1328,"?"
1329,"mo."
1330,"keturi"
1331,"."
1332,"paduksis"
1333,","
1334,"meilė"
1335,","
1336,"ir"
1337,"geri"
1338,"darbai"
1339,"."
1340,"m"
1341,"kaip"
1342,"tu"
1343,"pažįsti"
1344,"Dievą"
1345,"?"
1346,"mo."
1347,"per"
1348,"tikėjimą"
1349,"m."
1350,"ką"
1351,"išmanai"
1352,"per"
1353,"tikėjimą"
1354,"?"
1355,"mo."
1356,"visa"
1357,"tai"
1358,","
1359,"ko"
1360,"turisi"
1361,","
1362,"ką"
1363,"išmano"
1364,"ir"
1365,"tiki"
1366,"motina"
1367,"mūsų"
1368,"šventoji"
1369,"ir"
1370,"visur"
1371,"esantiji"
1372,"bažnyčia"
1373,"Rymo"
1374,"-"
1375,"o"
1376,"ypačiai"
1377,","
1378,"kas"
1379,"kredoje"
1380,"apaštalų"
1381,"užsirakina"
1382,"."
1383,"m."
1384,"byloki"
1385,"gi"
1386,"kredo"
1387,","
1388,"arba"
1389,"sambares"
1390,"apaštalų"
1391,"?"
1392,"1"
1393,"."
1394,"mo."
1395,"tikiu"
1396,"į"
1397,"gi"
1398,"Dievą"
1399,"tėvą"
1400,"visagalintį"
1401,","
1402,"darytoją"
1403,"dangaus"
1404,"ir"
1405,"žemės"
1406,"."
1407,"2"
1408,"."
1409,"ir"
1410,"į"
1411,"gi"
1412,"Jėzų"
1413,"Kristų"
1414,"sūnų"
1415,"jo"
1416,"vienatijį"
1417,"Viešpatį"
1418,"mūsų"
1419,"3"
1420,"."
1421,"kuris"
1422,"prasidėjo"
1423,"iš"
1424,"dvasios"
1425,"šventos"
1426,"gimė"
1427,"iš"
1428,"Marijos"
1429,"mergos"
1430,"."
1431,"4"
1432,"-"
1433,"kentė"
1434,"po"
1435,"pontiškiu"
1436,"Pilotu"
1437,","
1438,"nukryžiavotas"
1439,","
1440,"numirė"
1441,"ir"
1442,"pakastas"
1443,"."
1444,"5"
1445,"."
1446,"nužengė"
1447,"į"
1448,"gi"
1449,"pragarus"
1450,","
1451,"trečią"
1452,"dieną"
1453,"kėlėsi"
1454,"iš"
1455,"numirusių"
1456,"."
1457,"6"
1458,"."
1459,"užžengė"
1460,"ant"
1461,"dangų"
1462,"sėdi"
1463,"ant"
1464,"dešinės"
1465,"Dievo"
1466,"Tėvo"
1467,"visagalinčio"
1468,"."
1469,"7"
1470,"."
1471,"iš"
1472,"ten"
1473,"ateis"
1474,"sūdytų"
1475,"gyvų"
1476,"."
1477,"ir"
1478,"mirusių"
1479,"."
1480,"8"
1481,"."
1482,"tikiu"
1483,"į"
1484,"gi"
1485,"dvasią"
1486,"šventą"
1487,"į"
1488,"gi"
1489,"peklas"
1490,"."
1491,"9"
1492,"."
1493,"šventą"
1494,"bažnyčią"
1495,"visur"
1496,"esančią"
1497,"."
1498,"10"
1499,"."
1500,"šventųjų"
1501,"bendrystę"
1502,"11"
1503,"."
1504,"nuodėmių"
1505,"atleidimą"
1506,"kūno"
1507,"iš"
1508,"numirusių"
1509,"kėlimą"
1510,"."
1511,"12"
1512,"."
1513,"ir"
1514,"gyvatą"
1515,"amžiną"
1516,"amen"
1517,"."
1518,"m."
1519,"ką"
1520,"bylojome"
1521,"?"
1522,"mo."
1523,"kredą"
1524,"arba"
1525,"sudėjimą"
1526,"."
1527,"apaštalų"
1528,"."
1529,"m"
1530,"kas"
1531,"jį"
1532,"sudėjo"
1533,"?"
1534,"mo."
1535,"šventieji"
1536,"apaštalai"
1537,","
1538,"kad"
1539,"norėjo"
1540,"eiti"
1541,"sakytų"
1542,"evangelijos"
1543,"per"
1544,"visą"
1545,"pasaulį"
1546,"."
1547,"m."
1548,"kodrin"
1549,"jį"
1550,"sudėjo"
1551,"?"
1552,"m."
1553,"idant"
1554,"mus"
1555,"išmokytų"
1556,"tikėjimo"
1557,"."
1558,"m."
1559,"kas"
1560,"užsirakina"
1561,"tame"
1562,"sudėjime"
1563,"?"
1564,"mo."
1565,"dvylika"
1566,"artikulų"
1567,","
1568,"tai"
1569,"yra"
1570,"dvylika"
1571,"sąnarių"
1572,"tikėjimo"
1573,"krikščioniško"
1574,"."
1575,"m."
1576,"o"
1577,"apie"
1578,"ką"
1579,"gi"
1580,"bylo"
1581,"arba"
1582,"kam"
1583,"prisieiti"
1584,"šitie"
1585,"artikulai"
1586,"?"
1587,"mo."
1588,"pirmas"
1589,"tėvui"
1590,"-"
1591,"šeši"
1592,"kurie"
1593,"paskui"
1594,"jį"
1595,"eiti"
1596,"sūnui"
1597,"-"
1598,"o"
1599,"penki"
1600,"pastarieji"
1601,"dvasiai"
1602,"šventai"
1603,"."
1604,"m."
1605,"į"
1606,"gi"
1607,"ką"
1608,"tu"
1609,"tiki"
1610,"?"
1611,"mo."
1612,"tikiu"
1613,"į"
1614,"gi"
1615,"Dievą"
1616,"kuris"
1617,"yra"
1618,"švenčiausia"
1619,"traicė"
1620,"."
1621,"m."
1622,"ką"
1623,"gi"
1624,"tu"
1625,"išmanai"
1626,"per"
1627,"švenčiausią"
1628,"traicę"
1629,"."
1630,"mo."
1631,"tėvą"
1632,","
1633,"sūnų"
1634,","
1635,"ir"
1636,"dvasią"
1637,"šventą"
1638,"tris"
1639,"personas"
1640,"o"
1641,"vieną"
1642,"Dievą"
1643,"-"
1644,"m."
1645,"tėvas"
1646,"yra"
1647,"gu"
1648,"Dievu"
1649,"?"
1650,"mo."
1651,"yra"
1652,"."
1653,"m."
1654,"o"
1655,"sūnus"
1656,"yra"
1657,"gu"
1658,"Dievu"
1659,"?"
1660,"mo."
1661,"yra"
1662,"."
1663,"m."
1664,"o"
1665,"dvasia"
1666,"šventoji"
1667,"yra"
1668,"Dievu"
1669,"?"
1670,"mo."
1671,"yra"
1672,"."
1673,"m."
1674,"tadang"
1675,"yra"
1676,"trys"
1677,"Dievai"
1678,"?"
1679,"mo."
1680,"ne"
1681,"."
1682,"nes"
1683,"norint"
1684,"yra"
1685,"trys"
1686,"personos"
1687,","
1688,"o"
1689,"vienokig"
1690,"pats"
1691,"yra"
1692,"vienas"
1693,"Dievas"
1694,"."
1695,"m."
1696,"kodrin"
1697,"jį"
1698,"vadina"
1699,"Dievu"
1700,"?"
1701,"mo."
1702,"jog"
1703,"regi"
1704,","
1705,"turi"
1706,","
1707,"kuopoje"
1708,"visus"
1709,"daiktus"
1710,"kaip"
1711,"Viešpatis"
1712,","
1713,"ir"
1714,"rėdytojas"
1715,","
1716,"arba"
1717,"taisytojas"
1718,"viso"
1719,"sutvėrimo"
1720,"."
1721,"m."
1722,"kokį"
1723,"tu"
